,Cattle,Calves,Pigs,Lambs,Expenses,,,,,,,
1,3437,5791,3268,10649,27698,,,,,,,
2,12801,4558,5751,14375,57634,,,,,,,
3,6136,6223,15175,2811,47172,,,,,,,
4,11685,3212,639,964,49295,,,,,,,
5,5733,3220,534,2052,24115,,,,,,,
6,3021,4348,839,2356,33612,,,,,,,
7,1689,634,318,2209,9512,,,,,,,
8,2339,1895,610,605,14755,,,,,,,
9,1025,834,734,2825,10570,,,,,,,
10,2936,1419,331,231,15394,,,,,,,
11,5049,4195,1589,1957,27843,,,,,,,
12,1693,3602,837,1582,17717,,,,,,,
13,1187,2679,459,18837,20253,,,,,,,
14,9730,3951,3780,524,37465,,,,,,,
15,14325,4300,10781,36863,101334,,,,,,,
16,7737,9043,1394,1524,47427,,,,,,,
17,7538,4538,2565,5109,35944,,,,,,,
18,10211,4994,3081,3681,45945,,,,,,,
19,8697,3005,1378,3338,46890,,,,,,,
20,10256,4170,1560,4618,48772,,,,,,,